website,category,article_number,image number,alt,article_heading,article_url,['content']
https://people.com/,people_in_article,1,1,Savannah Chrisley hollywood 09 12 23,1,https://people.com/savannah-chrisley-recalls-leaving-airport-security-had-a-gun-in-purse-8710657,"“I had a glock,” Savannah admitted. “Not just a gun, a glock"" FOX via Getty  Savannah Chrisley is recalling her own near run-in with the law.
  On the Tuesday, Sept. 10 episode of Unlocked, Savannah, 27, sat down with her best friends in a roundtable-style discussion. Reminiscing on memories together, the reality star’s friend Holly Waldrup brought up a time when she and Savannah had to flee from airport security.
  “It was the funniest thing because I thought she had drugs on her because she was like, ‘We can't go through the security gate,’ and I was like, ‘Okay queen. I don’t know what's going on but I support you. Let's get out of here,’” Holly recalled. 
  “I had a glock,” Savannah admitted. “Not just a gun, a glock.”
  Holly said that she didn’t even ask questions before helping Savannah get out of the security line — which the two had already reached the end of.
  “We went through and they were like, ‘Ma'am we're gonna need to search your bag,’” Savannah revealed. “And Holly moved the gate and we jumped over and just ran.”
  “I had no idea what she had but I was supportive,” Holly said.
  The Chrisley Knows Best alum also clarified that she only ran out of line due to fear, but she obtained her gun legally.
  “I believe in our second amendment rights so I got it very legally,” she explained. “In Texas, you don't have to have a carry permit so nothing was wrong with it, but it wouldn't have been seen too kindly upon.”
  “She said, ‘There's a gun,’ I was like, ‘Put that gun away!'"" Holly added.
 Vivian Zink/NBC/NBCU Photo Bank via Getty   Never miss a story — sign up for PEOPLE's free daily newsletter to stay up-to-date on the best of what PEOPLE has to offer​​, from celebrity news to compelling human interest stories. 
  Elsewhere in the podcast, Savannah and her friends talked about her parents Todd and Julie Chrisley's guilty verdict for bank fraud and tax evasion in June 2022. Savannah and her friend Tyler Bishop shared a sweet memory of Julie gifting all the kids with Build-a-Bears installed with her voice saying prayers.
  “What originally happened was she did it for Chloe because she said Chloe's prayers with her every night,” Savannah said. “And she didn't realize — because that was something that she and Chloe always did — then, Grayson had tears in his eyes and was like, ‘I want one too.’ And Build-a-Bear closed in like 30 minutes, and she raced to Build-a-Bear and made him two, made me one, made Chase one. And we all still have it.”
  Although she gets good use out of it, Savannah said 11-year-old Chloe (who is Todd and Julie’s biological granddaughter but has since been adopted) doesn’t use hers as much.
  “Someone played it the other day and Chloe freaked out and was like ‘Don't play it, don’t play it,’ because she hasn't listened to it at all,” she said.
  “Watching y’all for the first time play them to yourselves and listening to it was so heartbreaking,” Tyler added.
"
https://people.com/,people_in_article,1,2,"""Chrisley's Believe It Or Not"" Episode 606 -- Pictured: (l-r) Julie Chrisley, Savannah Chrisley, Todd Chrisley ",1,https://people.com/savannah-chrisley-recalls-leaving-airport-security-had-a-gun-in-purse-8710657,"“I had a glock,” Savannah admitted. “Not just a gun, a glock"" FOX via Getty  Savannah Chrisley is recalling her own near run-in with the law.
  On the Tuesday, Sept. 10 episode of Unlocked, Savannah, 27, sat down with her best friends in a roundtable-style discussion. Reminiscing on memories together, the reality star’s friend Holly Waldrup brought up a time when she and Savannah had to flee from airport security.
  “It was the funniest thing because I thought she had drugs on her because she was like, ‘We can't go through the security gate,’ and I was like, ‘Okay queen. I don’t know what's going on but I support you. Let's get out of here,’” Holly recalled. 
  “I had a glock,” Savannah admitted. “Not just a gun, a glock.”
  Holly said that she didn’t even ask questions before helping Savannah get out of the security line — which the two had already reached the end of.
  “We went through and they were like, ‘Ma'am we're gonna need to search your bag,’” Savannah revealed. “And Holly moved the gate and we jumped over and just ran.”
  “I had no idea what she had but I was supportive,” Holly said.
  The Chrisley Knows Best alum also clarified that she only ran out of line due to fear, but she obtained her gun legally.
  “I believe in our second amendment rights so I got it very legally,” she explained. “In Texas, you don't have to have a carry permit so nothing was wrong with it, but it wouldn't have been seen too kindly upon.”
  “She said, ‘There's a gun,’ I was like, ‘Put that gun away!'"" Holly added.
 Vivian Zink/NBC/NBCU Photo Bank via Getty   Never miss a story — sign up for PEOPLE's free daily newsletter to stay up-to-date on the best of what PEOPLE has to offer​​, from celebrity news to compelling human interest stories. 
  Elsewhere in the podcast, Savannah and her friends talked about her parents Todd and Julie Chrisley's guilty verdict for bank fraud and tax evasion in June 2022. Savannah and her friend Tyler Bishop shared a sweet memory of Julie gifting all the kids with Build-a-Bears installed with her voice saying prayers.
  “What originally happened was she did it for Chloe because she said Chloe's prayers with her every night,” Savannah said. “And she didn't realize — because that was something that she and Chloe always did — then, Grayson had tears in his eyes and was like, ‘I want one too.’ And Build-a-Bear closed in like 30 minutes, and she raced to Build-a-Bear and made him two, made me one, made Chase one. And we all still have it.”
  Although she gets good use out of it, Savannah said 11-year-old Chloe (who is Todd and Julie’s biological granddaughter but has since been adopted) doesn’t use hers as much.
  “Someone played it the other day and Chloe freaked out and was like ‘Don't play it, don’t play it,’ because she hasn't listened to it at all,” she said.
  “Watching y’all for the first time play them to yourselves and listening to it was so heartbreaking,” Tyler added.
"
https://people.com/,people_in_article,2,1,"LOS ANGELES, CA - JANUARY 06: Chief Executive Officer of Amazon Jeff Bezos (L) and MacKenzie Bezos attend the 7th Annual Sean Penn & Friends HAITI RISING Gala benefiting J/P Haitian Relief Organization on January 6, 2018 in Hollywood, California. (Photo by Michael Kovac/Getty Images for for J/P HRO Gala)",Image 13,https://people.com/lucky-recipient-of-usd10m-from-mackenzie-scott-was-shocked-by-donation-8710983,"The 54-year-old philanthropist previously donated $5 million to the same nonprofit, Access to Capital for Entrepreneurs (ACE), in 2020 Abigail Adams is a Human Interest Writer and Reporter for PEOPLE. She has been working in journalism for seven years.  MacKenzie Scott has donated $10 million to an Atlanta-based nonprofit — and the lucky recipient was surprised by the generous gift.
  Scott, 54, made the “transformative” donation to Access to Capital for Entrepreneurs (ACE) in late August, according to a statement shared by the nonprofit, which describes itself on its website as a community lender that “specializes in small-business loans coupled with business advisory services.”
  Grace Fricks, founder and CEO of ACE, said in a statement that she was presented with the generous donation during a special phone call with one of Scott’s representatives.
  Speaking with The Atlanta Business Chronicle, Fricks said the phone call from Scott’s foundation came “completely out of the blue.”
  In a statement, Frick said she hopes the funds will “propel ACE to the next level” nearly 25 years after it was launched.
  “This is a testament to the social impact of the work ACE does, and does well,” added Fricks, who is retiring at the end of the year, according to the Chronicle.
  Never miss a story — sign up for PEOPLE's free daily newsletter to stay up-to-date on the best of what PEOPLE has to offer, from celebrity news to compelling human interest stories.
  ACE helps start-ups and businesses of various sizes “by making loans with generous repayment terms and affordable interest rates,” according to the organization’s website.
  The $10 million donated to ACE was “immediately” made available to help ACE execute its five-year strategic plan — which includes lending $300 million to 1,500 small businesses in Georgia and providing more than 100,000 hours of business advisory services.
  Many of the small businesses assisted by ACE are run by women and people of color, according to the nonprofit.
  “We’re proud of the accomplishments of each of our clients — the more than 2,600 small business owners across Georgia who’ve received ACE’s affordable loans — and grateful for this recognition of the ACE team’s hard work,” Frick said in her statement.
  ACE did not immediately respond to PEOPLE’s request for comment.
  This is the second time Scott has donated to ACE. In 2020, Scott donated $5 million to the organization.
  ACE did not apply for the grant it received from Scott, who began awarding grants in 2019 following her divorce from Amazon founder Jeff Bezos, according to the Chronicle.
  In March, Scott announced she had given away $640 million to 361 nonprofits from a pool of more than 6,000 applicants.
  In a post on her Yield Giving website, Scott said each of the selected community-led nonprofits received grants “for their outstanding work advancing the voices and opportunities of individuals and families of meager or modest means, and groups who have met with discrimination and other systemic obstacles.”
  Scott also said she was grateful to “everyone on the evaluation and implementation teams for their roles in creating this pathway to support for people working to improve access to foundational resources in their communities,” describing them as “vital agents of change.”
"
https://people.com/,people_in_article,3,1,The Third Gilmore Girl by Kelly Bishop,1,https://people.com/kelly-bishop-talks-very-private-abortion-in-new-memoir-exclusive-8709960,"The ‘Gilmore Girls’ actress writes about the experience in her upcoming memoir, ‘The Third Gilmore Girl’ Carly Tagen-Dye is the Books editorial assistant at PEOPLE, where she writes for both print and digital platforms. Jason LaVeris/FilmMagic  Kelly Bishop was just a child when she proclaimed to her mother, Jane, that she didn't want to have children of her own.“I was quite young,” Bishop, 80, tells PEOPLE for this week’s print issue. “I remember my mother even reminded me [when I was an adult], ‘You were a little girl when you said ... I'm not going to have children.'”
  For more on Kelly Bishop, pick up the latest issue of PEOPLE, on newsstands Friday, or subscribe here.“I meant it,” Bishop says. “And that was fine. I mean, that’s a choice.”The Tony-winning actress is looking back on her stage and screen career in her new memoir The Third Gilmore Girl, out Sept. 17 from Gallery Books — from her groundbreaking role in the 1975 Broadway musical A Chorus Line, which was based upon tapes that Bishop recorded about her life as a chorus dancer, to her part as Jennifer Grey’s mother in the ‘80s classic Dirty Dancing, to her beloved role as the stern Gilmore matriarch Emily on the 2000-2007 family drama Gilmore Girls.
 John Lamparski/Getty Images  But Bishop, who writes that she’s generally a private person, also opens up about her personal life — including a failed first marriage to a compulsive gambler and the abortion she had when she was in her thirties.“It was such a relief just knowing that that option was there,” Bishop says. “Of course, it never had occurred to me that I would accidentally get pregnant. That never even crossed my mind. But the fact that that was available and legal, it was just a relief.”
  Bishop says that she wasn’t originally planning on including her abortion story in the memoir, though not for “any feeling of shame and wrongdoing.”“That's something private that I just was not going to put in until the Supreme Court got rid of Roe v. Wade,” Bishop says. “And more and more women — actresses, but other celebrity-type women — were coming out of my generation, saying, ‘I had an abortion. I had an abortion.’” 
  Never miss a story — sign up for PEOPLE's free daily newsletter to stay up-to-date on the best of what PEOPLE has to offer​​, from celebrity news to compelling human interest stories. This issue became an important one for Bishop, despite describing herself as “not really political.” She recalls attending a 2004 pro-choice rally in Washington, DC with Gilmore Girls creator Amy Sherman-Palladino and producer Helen Pai, and says that sharing her own abortion experience was a way to reach out to younger readers.
  “I just wanted to include it so that young women of today get a sense of where we were then,” Bishop says.Though she doesn’t have any biological children of her own, Bishop is the stepmother to Norma Sheryl Leonard, the daughter of Bishop’s late husband, former ESPN and CNN host Lee Leonard, who Bishop was married to from 1981 until Leonard’s death in 2018.
  “There was just so much love and respect between the two of us,” Bishop says, of their marriage. “He didn't try to lord it over me. Which is tricky because he was 15 years my senior, from a completely different generation, really.”
  Today, Bishop, who resides in New Jersey with her hound dog Dolly, is keeping another idea from childhood close: the drive to keep learning.“You can learn things every single day. Even little tiny things,” Bishop says. ""Because when you're learning, you're growing. You continue to grow, and that's what I want.”The Third Gilmore Girl will arrived on shelves on Sept. 17 and is now available for preorder, wherever books are sold.
"
https://people.com/,people_in_article,3,2," Kelly Bishop attends Disney Media Networks International Upfronts at Walt Disney Studios on May 20, 2012",1,https://people.com/kelly-bishop-talks-very-private-abortion-in-new-memoir-exclusive-8709960,"The ‘Gilmore Girls’ actress writes about the experience in her upcoming memoir, ‘The Third Gilmore Girl’ Carly Tagen-Dye is the Books editorial assistant at PEOPLE, where she writes for both print and digital platforms. Jason LaVeris/FilmMagic  Kelly Bishop was just a child when she proclaimed to her mother, Jane, that she didn't want to have children of her own.“I was quite young,” Bishop, 80, tells PEOPLE for this week’s print issue. “I remember my mother even reminded me [when I was an adult], ‘You were a little girl when you said ... I'm not going to have children.'”
  For more on Kelly Bishop, pick up the latest issue of PEOPLE, on newsstands Friday, or subscribe here.“I meant it,” Bishop says. “And that was fine. I mean, that’s a choice.”The Tony-winning actress is looking back on her stage and screen career in her new memoir The Third Gilmore Girl, out Sept. 17 from Gallery Books — from her groundbreaking role in the 1975 Broadway musical A Chorus Line, which was based upon tapes that Bishop recorded about her life as a chorus dancer, to her part as Jennifer Grey’s mother in the ‘80s classic Dirty Dancing, to her beloved role as the stern Gilmore matriarch Emily on the 2000-2007 family drama Gilmore Girls.
 John Lamparski/Getty Images  But Bishop, who writes that she’s generally a private person, also opens up about her personal life — including a failed first marriage to a compulsive gambler and the abortion she had when she was in her thirties.“It was such a relief just knowing that that option was there,” Bishop says. “Of course, it never had occurred to me that I would accidentally get pregnant. That never even crossed my mind. But the fact that that was available and legal, it was just a relief.”
  Bishop says that she wasn’t originally planning on including her abortion story in the memoir, though not for “any feeling of shame and wrongdoing.”“That's something private that I just was not going to put in until the Supreme Court got rid of Roe v. Wade,” Bishop says. “And more and more women — actresses, but other celebrity-type women — were coming out of my generation, saying, ‘I had an abortion. I had an abortion.’” 
  Never miss a story — sign up for PEOPLE's free daily newsletter to stay up-to-date on the best of what PEOPLE has to offer​​, from celebrity news to compelling human interest stories. This issue became an important one for Bishop, despite describing herself as “not really political.” She recalls attending a 2004 pro-choice rally in Washington, DC with Gilmore Girls creator Amy Sherman-Palladino and producer Helen Pai, and says that sharing her own abortion experience was a way to reach out to younger readers.
  “I just wanted to include it so that young women of today get a sense of where we were then,” Bishop says.Though she doesn’t have any biological children of her own, Bishop is the stepmother to Norma Sheryl Leonard, the daughter of Bishop’s late husband, former ESPN and CNN host Lee Leonard, who Bishop was married to from 1981 until Leonard’s death in 2018.
  “There was just so much love and respect between the two of us,” Bishop says, of their marriage. “He didn't try to lord it over me. Which is tricky because he was 15 years my senior, from a completely different generation, really.”
  Today, Bishop, who resides in New Jersey with her hound dog Dolly, is keeping another idea from childhood close: the drive to keep learning.“You can learn things every single day. Even little tiny things,” Bishop says. ""Because when you're learning, you're growing. You continue to grow, and that's what I want.”The Third Gilmore Girl will arrived on shelves on Sept. 17 and is now available for preorder, wherever books are sold.
"
https://people.com/,people_in_article,3,3,"Kelly Bishop attends ""Grand Horizons"" Broadway opening night at Hayes Theater on January 23, 2020",1,https://people.com/kelly-bishop-talks-very-private-abortion-in-new-memoir-exclusive-8709960,"The ‘Gilmore Girls’ actress writes about the experience in her upcoming memoir, ‘The Third Gilmore Girl’ Carly Tagen-Dye is the Books editorial assistant at PEOPLE, where she writes for both print and digital platforms. Jason LaVeris/FilmMagic  Kelly Bishop was just a child when she proclaimed to her mother, Jane, that she didn't want to have children of her own.“I was quite young,” Bishop, 80, tells PEOPLE for this week’s print issue. “I remember my mother even reminded me [when I was an adult], ‘You were a little girl when you said ... I'm not going to have children.'”
  For more on Kelly Bishop, pick up the latest issue of PEOPLE, on newsstands Friday, or subscribe here.“I meant it,” Bishop says. “And that was fine. I mean, that’s a choice.”The Tony-winning actress is looking back on her stage and screen career in her new memoir The Third Gilmore Girl, out Sept. 17 from Gallery Books — from her groundbreaking role in the 1975 Broadway musical A Chorus Line, which was based upon tapes that Bishop recorded about her life as a chorus dancer, to her part as Jennifer Grey’s mother in the ‘80s classic Dirty Dancing, to her beloved role as the stern Gilmore matriarch Emily on the 2000-2007 family drama Gilmore Girls.
 John Lamparski/Getty Images  But Bishop, who writes that she’s generally a private person, also opens up about her personal life — including a failed first marriage to a compulsive gambler and the abortion she had when she was in her thirties.“It was such a relief just knowing that that option was there,” Bishop says. “Of course, it never had occurred to me that I would accidentally get pregnant. That never even crossed my mind. But the fact that that was available and legal, it was just a relief.”
  Bishop says that she wasn’t originally planning on including her abortion story in the memoir, though not for “any feeling of shame and wrongdoing.”“That's something private that I just was not going to put in until the Supreme Court got rid of Roe v. Wade,” Bishop says. “And more and more women — actresses, but other celebrity-type women — were coming out of my generation, saying, ‘I had an abortion. I had an abortion.’” 
  Never miss a story — sign up for PEOPLE's free daily newsletter to stay up-to-date on the best of what PEOPLE has to offer​​, from celebrity news to compelling human interest stories. This issue became an important one for Bishop, despite describing herself as “not really political.” She recalls attending a 2004 pro-choice rally in Washington, DC with Gilmore Girls creator Amy Sherman-Palladino and producer Helen Pai, and says that sharing her own abortion experience was a way to reach out to younger readers.
  “I just wanted to include it so that young women of today get a sense of where we were then,” Bishop says.Though she doesn’t have any biological children of her own, Bishop is the stepmother to Norma Sheryl Leonard, the daughter of Bishop’s late husband, former ESPN and CNN host Lee Leonard, who Bishop was married to from 1981 until Leonard’s death in 2018.
  “There was just so much love and respect between the two of us,” Bishop says, of their marriage. “He didn't try to lord it over me. Which is tricky because he was 15 years my senior, from a completely different generation, really.”
  Today, Bishop, who resides in New Jersey with her hound dog Dolly, is keeping another idea from childhood close: the drive to keep learning.“You can learn things every single day. Even little tiny things,” Bishop says. ""Because when you're learning, you're growing. You continue to grow, and that's what I want.”The Third Gilmore Girl will arrived on shelves on Sept. 17 and is now available for preorder, wherever books are sold.
"
https://people.com/,people_in_article,4,1,"Travis Kelce, Taylor Swift",Image 11,https://people.com/travis-kelce-reacts-taylor-swift-thanking-him-2024-vmas-8710992,"""Everything this man touches turns to happiness and fun and magic,"" Swift said of her NFL star boyfriend Kevin Sabitus/Getty; Jeff Kravitz/Getty  Travis Kelce had a subtle but sweet reaction to his VMAs shoutout from girlfriend Taylor Swift.
  After Swift, 34, thanked him during her acceptance speech for the video of the year award at 2024 MTV Video Music Awards, the Kansas City Chiefs tight end liked a video of the sweet moment on MTV's Instagram.
  In the clip, the pop superstar — who won a total of seven Moon Person trophies, including artist of the year at the awards show — praised Kelce for his support while she and Post Malone accepted the award, which they won for their ""Fortnight"" video.
  Swift said during the filming of the music video, Kelce was ""cheering"" from across the studio after every take.
  The superstar singer referred to Kelce as her ""boyfriend"" on stage during the award show in New York City on Sept. 11, which fans pointed out is the first time she's publicly spoken his name and referred to him as her boyfriend.
  During her speech, Swift praised her collaborator Malone and continued, ""The thing is that this video, it seems very sad when you watch it, but it actually was like the most fun video to make.""
  Swift continued, ""And something that I'll always remember is when I would finish a take and I'd say ‘cut’ and we'd be done with that take, I would always just hear like someone cheering from across the studio where we were shooting it, and that one person was my boyfriend, Travis.""
  ""Everything this man touches turns to happiness and fun and magic. So, I want to thank him for adding that to our shoot because I’ll always remember that,"" Swift added.
 Jamie Squire/Getty  Kelce couldn't attend the award show with Swift due to his practice schedule with the Chiefs, now that the NFL season is again in full swing.
  However, the tight end — who makes his acting debut in Grotesquerie this month — wished Swift luck on an episode of his podcast, New Heights with Jason and Travis Kelce. 
  Never miss a story — sign up for PEOPLE's free daily newsletter to stay up-to-date on the best of what PEOPLE has to offer, from juicy celebrity news to compelling human interest stories.
  “Hopefully Taylor can walk away with a few, she’s nominated for about ten of those things tonight,” he said about the award show. “Hopefully she can walk away with some moon men,"" he added. ""Those are always one of the cooler trophies. The space guys.”
"
